Date,Adj_appl,Adj_goog,Adj_msft,Adj_amzn,Adj_fb
5/5/2017,146.076935,927.130005,67.292992,934.150024,150.240005
5/4/2017,143.693954,931.659973,67.107697,937.530029,150.850006
5/3/2017,144.213715,927.039978,67.371025,941.030029,151.800003
5/2/2017,144.654999,916.440002,67.585571,946.940002,152.779999
5/1/2017,143.743011,912.570007,67.692863,948.22998,152.460007
4/28/2017,140.869705,905.960022,66.76635,924.98999,150.25
4/27/2017,141.007004,874.25,66.581055,918.380005,147.699997
4/26/2017,140.899139,871.72998,66.151939,909.289978,146.559998
4/25/2017,141.732681,872.299988,66.239723,907.619995,146.490005
4/24/2017,140.859909,862.76001,65.85936,907.409973,145.470001
4/21/2017,139.516418,843.190002,64.757317,898.530029,143.679993
4/20/2017,139.683151,841.650024,63.879581,902.059998,143.800003
4/19/2017,137.957184,838.210022,63.430969,899.200012,142.270004
4/18/2017,138.467133,836.820007,63.772312,903.780029,140.960007
4/17/2017,139.084946,837.169983,63.860081,901.98999,141.419998
4/13/2017,138.320038,823.559998,63.343189,884.669983,139.389999
4/12/2017,139.055542,824.320007,63.616261,896.22998,139.580002
4/11/2017,138.888809,823.349976,63.860081,902.359985,139.919998
4/10/2017,140.399017,824.72998,63.90884,907.039978,141.039993
4/7/2017,140.565704,824.669983,64.055138,894.880005,140.779999
4/6/2017,140.879517,827.880005,64.103905,898.280029,141.169998
4/5/2017,141.232559,831.409973,63.938095,909.280029,141.850006
4/4/2017,141.968033,834.570007,64.103905,906.830017,141.729996
4/3/2017,140.918762,838.549988,63.928349,891.51001,142.279999
3/31/2017,140.879517,829.559998,64.230675,886.539978,142.050003
3/30/2017,141.144287,831.5,64.084396,876.340027,142.410004
3/29/2017,141.330612,831.409973,63.850319,874.320007,142.649994
3/28/2017,141.016815,820.919983,63.674778,856,141.759995
3/27/2017,138.153336,819.51001,63.489475,846.820007,140.320007
3/24/2017,137.917984,814.429993,63.372452,845.609985,140.339996
3/23/2017,138.192551,817.580017,63.265171,847.380005,139.529999
3/22/2017,138.682877,829.590027,63.421207,848.059998,139.589996
3/21/2017,137.133453,830.460022,62.621498,843.200012,138.509995
3/20/2017,138.722122,848.400024,63.323681,856.969971,139.940002
3/17/2017,137.280563,852.119995,63.265171,852.309998,139.839996
3/16/2017,137.96698,848.780029,63.040863,853.419983,139.990005
3/15/2017,137.74147,847.200012,63.14814,852.969971,139.720001
3/14/2017,136.299911,845.619995,62.816551,852.530029,139.320007
3/13/2017,136.505829,845.539978,63.109127,854.590027,139.600006
3/10/2017,136.447006,843.25,63.323681,852.460022,138.789993
3/9/2017,135.995895,838.679993,63.128632,853,138.240005
3/8/2017,136.309723,835.369995,63.382198,850.5,137.720001
3/7/2017,136.819656,831.909973,62.806801,846.02002,137.300003
3/6/2017,136.643127,827.780029,62.680008,846.609985,137.419998
